location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
225801,"Westminster - Elizabeth Bridge","no2",7.2,"µg/m³","2025-11-08T01:00:00Z","2025-11-08T01:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",6.3,"µg/m³","2025-11-08T02:00:00Z","2025-11-08T02:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",3,"µg/m³","2025-11-08T03:00:00Z","2025-11-08T03:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",2.6,"µg/m³","2025-11-08T04:00:00Z","2025-11-08T04:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",6.4,"µg/m³","2025-11-08T05:00:00Z","2025-11-08T05:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",23.9,"µg/m³","2025-11-08T06:00:00Z","2025-11-08T06:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",23.5,"µg/m³","2025-11-08T07:00:00Z","2025-11-08T07:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",26.8,"µg/m³","2025-11-08T08:00:00Z","2025-11-08T08:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",18.1,"µg/m³","2025-11-08T09:00:00Z","2025-11-08T09:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",33.1,"µg/m³","2025-11-08T10:00:00Z","2025-11-08T10:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
